timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/06/09 13:32:15.179, 0 %, 0 %, 1 MiB
2026/06/09 13:32:16.180, 0 %, 0 %, 1 MiB
2026/06/09 13:32:17.181, 0 %, 0 %, 1 MiB
2026/06/09 13:32:18.181, 0 %, 0 %, 1 MiB
2026/06/09 13:32:19.181, 0 %, 0 %, 1 MiB
2026/06/09 13:32:20.182, 0 %, 0 %, 1 MiB
2026/06/09 13:32:21.182, 0 %, 0 %, 1 MiB
2026/06/09 13:32:22.183, 0 %, 0 %, 1 MiB
2026/06/09 13:32:23.183, 0 %, 0 %, 1 MiB
2026/06/09 13:32:24.183, 0 %, 0 %, 1 MiB
2026/06/09 13:32:25.184, 0 %, 0 %, 1 MiB
2026/06/09 13:32:26.184, 0 %, 0 %, 1 MiB
2026/06/09 13:32:27.185, 0 %, 0 %, 1 MiB
2026/06/09 13:32:28.185, 0 %, 0 %, 1 MiB
2026/06/09 13:32:29.186, 0 %, 0 %, 1 MiB
2026/06/09 13:32:30.186, 0 %, 0 %, 1 MiB
2026/06/09 13:32:31.187, 0 %, 0 %, 1 MiB
2026/06/09 13:32:32.187, 0 %, 0 %, 1 MiB
2026/06/09 13:32:33.188, 0 %, 0 %, 1 MiB
2026/06/09 13:32:34.188, 0 %, 0 %, 1 MiB
2026/06/09 13:32:35.188, 0 %, 0 %, 1 MiB
2026/06/09 13:32:36.189, 0 %, 0 %, 1 MiB
2026/06/09 13:32:37.189, 0 %, 0 %, 1 MiB
2026/06/09 13:32:38.190, 0 %, 0 %, 1 MiB
2026/06/09 13:32:39.190, 0 %, 0 %, 1 MiB
2026/06/09 13:32:40.191, 0 %, 0 %, 1 MiB
2026/06/09 13:32:41.191, 0 %, 0 %, 1 MiB
2026/06/09 13:32:42.191, 0 %, 0 %, 1 MiB
2026/06/09 13:32:43.192, 0 %, 0 %, 1 MiB
2026/06/09 13:32:44.192, 0 %, 0 %, 1 MiB
2026/06/09 13:32:45.193, 0 %, 0 %, 1 MiB
2026/06/09 13:32:46.193, 0 %, 0 %, 1 MiB
2026/06/09 13:32:47.193, 0 %, 0 %, 1 MiB
2026/06/09 13:32:48.194, 0 %, 0 %, 1 MiB
2026/06/09 13:32:49.194, 0 %, 0 %, 1 MiB
2026/06/09 13:32:50.194, 0 %, 0 %, 1 MiB
2026/06/09 13:32:51.195, 0 %, 0 %, 1 MiB
2026/06/09 13:32:52.195, 0 %, 0 %, 1 MiB
2026/06/09 13:32:53.195, 0 %, 0 %, 1 MiB
2026/06/09 13:32:54.196, 0 %, 0 %, 1 MiB
2026/06/09 13:32:55.196, 0 %, 0 %, 1 MiB
2026/06/09 13:32:56.196, 0 %, 0 %, 1 MiB
2026/06/09 13:32:57.197, 0 %, 0 %, 1 MiB
2026/06/09 13:32:58.197, 0 %, 0 %, 1 MiB
2026/06/09 13:32:59.197, 0 %, 0 %, 1 MiB
2026/06/09 13:33:00.198, 0 %, 0 %, 1 MiB
2026/06/09 13:33:01.198, 0 %, 0 %, 1 MiB
2026/06/09 13:33:02.199, 0 %, 0 %, 1 MiB
2026/06/09 13:33:03.199, 0 %, 0 %, 1 MiB
2026/06/09 13:33:04.200, 0 %, 0 %, 4 MiB
2026/06/09 13:33:05.200, 0 %, 0 %, 4 MiB
2026/06/09 13:33:06.200, 0 %, 0 %, 4 MiB
2026/06/09 13:33:07.201, 0 %, 0 %, 4 MiB
2026/06/09 13:33:08.201, 0 %, 0 %, 4 MiB
